Data,Totale,Uomini,Donne,Minori
2022-03-30,76847,7435,39617,29795
2022-03-29,75115,7158,38735,29222
2022-03-28,73898,6959,38068,28871
2022-03-27,71940,6661,37082,28197
2022-03-26,70784,6479,36428,27877
2022-03-25,69154,6266,35577,27311
2022-03-23,65350,32361,5592,25151
2022-03-22,61493,31502,5400,24591
2022-03-21,59589,30499,5213,23877
2022-03-19,55711,28537,4776,22398
2022-03-18,53669,27429,4582,21658
2022-03-17,50649,25846,4325,20478
2022-03-16,47153,24032,4052,19069
2022-03-15,44008,22331,3819,17858
2022-03-14,38539,19566,3373,15600
2022-03-13,37447,19002,3298,15147
2022-03-12,34851,17685,3040,14126
2022-03-11,31287,15830,2781,12676
2022-03-10,26738,13419,2425,10894
2022-03-09,23872,11955,2200,9717
2022-03-08,21095,10553,1989,8553
2022-03-07,17286,8608,1682,6996
2022-03-06,14237,7052,1459,5726
2022-03-05,11323,5620,1198,4505
2022-03-04,9058,4484,1041,3533
2022-03-03,6608,3286,804,2518
2022-03-02,3840,1890,570,1380
